@château_de_bagatelle@	-location=22
@chippewa_falls,_wisconsin@	-location=83
@925@	-location=29
@st._peter@	-location=98
@juan_núñez_ii_de_lara@	-person=36
@warner_bros._pictures@	-organization=87
@american_bulldog@	-living_thing=25
@henry_of_burgundy@	-person=25
@volozhin_yeshiva@	-organization=31
@weybourne@	-location=38
@exsultate,_jubilate@	-art=20
@privy_councillor@	-organization=128 -title=12
@cave_creek@	-location=22 -event=1
@lira_district@	-location=29
@raghu@	-person=25
@charlie_furbush@	-person=22
@oswald_veblen@	-person=62
@bret_harte@	-person=142 -organization=1 -location=1
@jon_pertwee@	-person=290
@riverdance@	-art=172 -product=5
@lieutenant_governor_of_newfoundland_and_labrador@	-title=38
@kate_capshaw@	-person=68
@caroline_blakiston@	-person=30
@national_trails@	-organization=26 -location=1
@ushl@	-organization=96
@north_mountain@	-location=59
@murree@	-location=155
@stanley_coren@	-person=33
@hull_stingrays@	-organization=60
@dosbox@	-product=110
@ibarra@	-location=40 -person=2 -food=1
@julius_randle@	-person=32
@dede_allen@	-person=31
@i_let_a_song_go_out_of_my_heart@	-art=23
@shōwa@	-event=72 -location=17 -person=7 -organization=1
@ned_martin@	-person=21
@jigsaw@	-person=112 -art=14 -broadcast_program=9 -organization=9
@vernonia@	-living_thing=31 -location=14
@drum_programming@	-product=30
@keep_the_aspidistra_flying@	-art=33
@primorje@	-organization=30 -location=1
@gunung_mulu_national_park@	-location=57
@legio_vi_victrix@	-organization=23
@alexei_kovalev@	-person=65
@pinklon_thomas@	-person=27
@rosalinda@	-broadcast_program=44 -art=1
@ruth_vincent@	-person=23
@kokborok@	-language=50
@saudi_arabian_army@	-organization=24
@procyonidae@	-living_thing=63
@mark_owen@	-person=113
@guerrilla@	-art=26 -organization=2
@eilenburg@	-location=54
@david_durenberger@	-person=43
@the_villager@	-art=24
@dte_energy_music_theatre@	-location=21
@thrace@	-location=51 -people-ethnicity=1 -event=1
@bruce_turgon@	-person=22
@blois@	-location=343 -organization=3 -title=2
@inuit_circumpolar_council@	-organization=24
@san_juan_capistrano,_california@	-location=41
@citizens_financial_group@	-organization=28
@marple@	-location=108 -broadcast_program=10
@aquia_creek@	-location=43
@underwood@	-location=29 -organization=12 -person=4
@nunavut_arctic_college@	-organization=34
@torque@	-art=25 -product=2
@narona@	-location=23 -living_thing=1
@rhythm_zone@	-organization=83
@real_people@	-broadcast_program=53 -art=16
@dutch_reformed@	-religion-religion=63 -location=1
@zhou_long@	-person=22
@henryk_jabłoński@	-person=23
@ngaanyatjarra@	-people-ethnicity=31 -language=1
@sister_cities_international@	-organization=197
@samuel_french@	-person=52 -organization=9
@pōmare_iv@	-person=37
@waiting_for_god@	-broadcast_program=30 -person=1
@chieri@	-location=66 -organization=3
@langarud_rural_district@	-location=26
@jaguars@	-organization=54 -product=13
@john_rennie@	-person=121 -organization=1
@jesualdo_ferreira@	-person=54
@the_new_normal@	-broadcast_program=57 -art=13
@peggy_wood@	-person=49
@manu@	-person=125 -location=8 -art=7 -living_thing=3
@denby@	-location=36 -organization=2 -person=1
@minister_of_culture@	-title=59 -organization=29
@baluch@	-people-ethnicity=27 -location=3 -language=3
@trevor's_world_of_sport@	-broadcast_program=21
@about_face@	-art=27 -broadcast_program=6
@keith_hudson@	-person=29
@westfalenhallen@	-location=31
@carl_fischer@	-person=16 -organization=14
@coleophora_lutipennella@	-living_thing=29
@giulio_carlo_argan@	-person=20
@bontoc@	-location=28 -people-ethnicity=2 -language=1
@jean_molinet@	-person=25
@fox_lake@	-location=41 -people-ethnicity=1
@sherine@	-person=32
@otto_gross@	-person=22
@peter_watson@	-person=25
@democratic-republican@	-organization=955
@anne_ramsey@	-person=26
@kiba@	-broadcast_program=26 -location=1
@august_rei@	-person=20
@husband@	-person=19 -art=1
@crescent_street@	-location=23
@camarines_sur@	-location=245
@spyridon_gianniotis@	-person=21
@victims_of_communism_memorial_foundation@	-organization=34
@putnam_county,_florida@	-location=26
@north_smithfield@	-location=34
@black_cat@	-broadcast_program=74 -living_thing=4 -person=3 -art=2 -organization=1 -location=1
@marc_bulger@	-person=161
@canadian_parliament@	-organization=56 -location=1 -event=1
@fernando_de_la_mora@	-organization=25 -person=9 -location=9
@morris_albert@	-person=31
@frank_stokes@	-person=22
@farmington@	-location=344 -organization=1
@newton_county,_missouri@	-location=24
@homberg@	-location=42 -person=1
@13th@	-organization=88 -location=18 -event=14 -title=1
@tommy_hunter@	-person=64
@saban@	-organization=24 -person=4
@claudio_simonetti@	-person=36
@leo_baekeland@	-person=35
@burslem_port_vale@	-organization=373
@bavaria@	-location=9562 -organization=30 -person=1
@p-model@	-person=47 -art=5
@thirty_years'_war@	-event=2875
@shoaib_malik@	-person=88
@robotech@	-broadcast_program=284 -art=12 -product=8
@karasu@	-location=34
@hawkhurst@	-location=84
@baretta@	-broadcast_program=138 -person=3
@ferryland@	-location=34
@west_valley@	-location=20 -organization=2
@challenger_disaster@	-event=60 -product=2
@john_lighton_synge@	-person=22
@fence_records@	-organization=33
@decatur,_texas@	-location=25
@troschel@	-person=35
@tubular_bells_iii@	-art=28
@boston's@	-location=22 -organization=10 -event=1
@canso_causeway@	-location=46
@christian_brothers_college_high_school@	-organization=42
@jack_schroer@	-person=38
@empire_b_junior_c_hockey_league@	-organization=22
@order_of_st._olav@	-title=651
@marguerite_higgins@	-person=28
@central_african_cfa_franc@	-finance-currency=23
@st_austell@	-location=254 -organization=3
@1965–66@	-event=133
@eastern_michigan@	-organization=92 -location=2
@bougie@	-location=55
@nathaniel_lee@	-person=61
@finland@	-location=15499 -organization=740 -event=9 -art=4 -title=3 -religion-religion=3 -people-ethnicity=1
@jessica@	-person=75 -art=28
@anzac_cove@	-location=25 -event=8
@leeds_city_centre@	-location=130
@alan_kendall@	-person=46
@culross@	-location=69
@ibn_al-nafis@	-person=67
@theatre@	-location=40 -title=14 -organization=5 -art=4 -person=2
@bruce_snyder@	-person=20
@igor_severyanin@	-person=25
@boyle,_county_roscommon@	-location=27
@1903–04@	-event=12 -organization=9
@radegast@	-god=22 -location=11
@bellport,_new_york@	-location=25
@trabzon@	-location=518
@bennington@	-location=153 -organization=9 -product=2
@boolavogue@	-location=13 -art=11
@regia_aeronautica@	-organization=355
@ferdinando_ii_de'_medici@	-person=22
@lorna_simpson@	-person=38
@aquinas_college@	-organization=108 -location=2
@poipet@	-location=31
@peak_forest@	-location=27
@stonington@	-location=135
@annbjørg_lien@	-person=47
@quentin_richardson@	-person=70
@leadenhall_street@	-location=82
@argun@	-location=32
@gary_waddock@	-person=38
@rob_riggle@	-person=85
@mehmandust_rural_district@	-location=25
@arliss@	-broadcast_program=26
@morning@	-product=12 -art=9 -broadcast_program=2 -location=1
@pellworm@	-location=31
@ani@	-location=120 -living_thing=1 -person=1
@matthew_king@	-person=28
@leader_of_the_opposition@	-title=721 -organization=1
@sleeping_giant@	-location=21 -art=1
@the_noose@	-broadcast_program=24 -art=6
@anthem@	-art=82 -person=26 -location=6 -organization=2
@blue_river@	-location=81 -art=5
@umberto_bossi@	-person=85
@manuel_pinto_da_fonseca@	-person=29
@jessie@	-broadcast_program=104 -art=5 -person=3 -location=1
@cairo_international_film_festival@	-event=131
@bruce_bochy@	-person=82
@flight_of_the_conchords@	-broadcast_program=131 -art=8
@miss_illinois_usa@	-event=27
@neuve_chapelle@	-event=40
@justice_and_equality_movement@	-organization=73
@kumba@	-location=35 -language=2 -living_thing=1
@frédéric_fonteyne@	-person=21
@sangeet_natak_akademi@	-organization=256 -award=1
@oliver_napier@	-person=24
@itaewon@	-location=32
@hitachi_data_systems@	-organization=34
@gmina_bircza@	-location=30
@lake_geneva,_wisconsin@	-location=99
@sponge@	-living_thing=17 -broadcast_program=7
@new_england_patriots@	-organization=4033 -event=132 -location=1
@bagration@	-person=14 -event=6 -location=1
@ms@	-education-educational_degree=231 -location=30 -product=27 -disease=18 -art=16 -person=10 -title=1
@gideon_ståhlberg@	-person=38
@the_big_store@	-art=24
@yokohama_city_university@	-organization=25
@the_rockettes@	-person=51
@the_action@	-person=24 -event=1
@critérium_de_saint-cloud@	-event=48
@carlos_castaneda@	-person=90
@love_is_a_many-splendored_thing@	-art=67 -broadcast_program=1
@sr_70@	-location=25
@pop_evil@	-person=61
@waste@	-art=23 -product=11 -location=1
@reliance@	-organization=89 -location=15 -product=14
@transkei@	-location=316 -organization=1
@vienna_state_opera@	-organization=825
@opportunity_knocks@	-broadcast_program=134 -art=7
@shu_qi@	-person=83
@james_bay@	-location=281 -organization=2
@denise_levertov@	-person=124
@firenze@	-location=22
@earl_of_holland@	-title=18 -person=11
@khezrabad_district@	-location=53
@carolina_panthers@	-organization=2334
@erie_county,_new_york@	-location=304
@miloš_crnjanski@	-person=34
@warner@	-organization=267 -location=42 -person=5 -broadcast-tv_channel=1
@ministry_of_home_affairs@	-organization=159 -title=8
@mill_creek@	-location=101 -organization=1
@the_princess_and_the_goblin@	-art=33
@hazelnut@	-food=23 -living_thing=6
@köpenick@	-location=83
@the_isley_brothers@	-person=450
@xiang_river@	-location=78
@north_coast_railway_line,_queensland@	-metropolitan_transit-transit_line=35
@european_council_on_foreign_relations@	-organization=38
@jeff_nuttall@	-person=44
@chancellor_of_the_exchequer_of_ireland@	-title=29
@freestyle_skiing@	-event=42
@verlaine@	-person=49 -location=22
@leandro_n._alem@	-person=8 -organization=7 -location=5
@denison,_iowa@	-location=34
@superliga@	-organization=174 -event=2
@zone_4@	-organization=19 -location=1
@pepper_rodgers@	-person=36
@dangaioh@	-broadcast_program=27
@2004_tour_de_france@	-event=55
@scottish_football_alliance@	-organization=22
@qutb_complex@	-location=28
@nehbandan_county@	-location=376
@ranjit_singh@	-person=334
@1995–96_nba_season@	-event=26
@sainte-thérèse@	-location=20 -person=1
@hamilton_harbour@	-location=46
@napier@	-location=473 -person=16 -product=2 -organization=2
@william_alexander@	-person=63
@kęsowo@	-location=25
@el_dorado@	-location=216 -art=50 -organization=7
@rosalind_elias@	-person=29
@conjunto_primavera@	-person=42
@estonian_top_division@	-organization=37
@syed_ahmad_khan@	-person=22
@baby_animals@	-person=44 -art=7
@yucatec_maya@	-language=20 -people-ethnicity=2 -religion-religion=1
@blue_springs,_missouri@	-location=41
@flathead_river@	-location=48
@ovaries@	-body_part=31
@sd40-2@	-product=29
@sisters_of_mercy@	-organization=473 -person=14 -art=1
@central_norte@	-organization=27 -location=1
@earl_of_minto@	-person=11 -title=9
@passenger@	-art=63 -person=51 -product=8 -transit=2
@sakya@	-religion-religion=180 -people-ethnicity=3
@best_actress@	-award=19 -event=4
@provigo@	-organization=35
@pen-ek_ratanaruang@	-person=49
@bromus@	-living_thing=32
@phagwara@	-location=87
@bill_cosby@	-person=739
@premiership@	-organization=416 -title=26 -event=24 -person=5
@indo-european@	-language=59 -people-ethnicity=26
@alison_anderson@	-person=23
@computer_music_journal@	-art=26
@henri_michaux@	-person=95
@hooghly_river@	-location=148
@15th_infantry_regiment@	-organization=56
@secretary_of_state_for_wales@	-title=281
@chris_renaud@	-person=30
@marx@	-person=272 -organization=13 -art=3 -location=1
@a272_road@	-location=30
@talavera@	-event=46 -location=41 -living_thing=4 -organization=2 -product=1
@postosuchus@	-living_thing=20
@david_brin@	-person=219
@ta_kung_pao@	-art=35
@jack_fournier@	-person=21
@amitriptyline@	-medicine-drug=20
@johnnie_morton@	-person=24
@tavistock@	-location=118 -organization=3 -product=1
@monsters_of_folk@	-person=33 -art=3
@preston_school_of_industry@	-location=14 -person=13
@dennis_russell_davies@	-person=93
@king_wen_of_zhou@	-person=54
@betty_nguyen@	-person=23
@bravo_otto@	-award=20 -art=7
@plymouth_rock@	-location=66 -event=1
@danny_mann@	-person=49
@lucy_beaumont@	-person=24
@rum@	-location=19 -people-ethnicity=10 -food=1 -event=1 -person=1
@gene_tunney@	-person=123
@chantal_goya@	-person=24
@dasari_narayana_rao@	-person=107
@goldsmith's@	-organization=15 -person=5
@john_paul_hammerschmidt@	-person=53
@nebraska_city@	-location=42 -organization=1
@jisshu_sengupta@	-person=23
@steve_shill@	-person=25
@john_lawton@	-person=52
@ralph_peer@	-person=32
@lixnaw@	-organization=25 -location=11
@aberdeen_f.c.@	-organization=115
@giorgio_di_centa@	-person=25
@victoria_wood@	-person=198 -broadcast_program=9
@peter_carew@	-person=27
@umbagog_lake@	-location=28
@jeanne_balibar@	-person=31
@henry_herbert,_2nd_earl_of_pembroke@	-person=42
@ghana_national_football_team@	-organization=103
@western_pennsylvania_hockey_league@	-organization=57
@coeur_d'alene@	-location=130 -language=3 -event=1
@tewfik_pasha@	-person=35
@ancus_marcius@	-person=53
@chevrolet_blazer@	-product=25
@graham_bond@	-person=68
@cathays@	-location=48
@peggy_zina@	-person=43 -art=1
@mike_easler@	-person=23
@vicente_del_bosque@	-person=86
@kendall_grove@	-person=44
@2012_icc_under-19_cricket_world_cup@	-event=25
@jan_janssen@	-person=24
@ashmont@	-location=34 -metropolitan_transit-transit_line=1
@dan_patrick@	-person=133 -broadcast_program=1
@floridablanca@	-location=27 -person=2
@kanazawa@	-location=189 -organization=6
@tia@	-person=29 -organization=27 -location=12 -disease=3 -god=2
@fc_metalurh_zaporizhya@	-organization=145
@holy_diver@	-art=43 -product=1
@over_my_head_(cable_car)@	-art=27
@lootpack@	-person=24
@new_river@	-location=376 -art=1
@pac-12@	-organization=136 -event=1
@walloons@	-people-ethnicity=80 -location=4 -organization=1
@evliya_çelebi@	-person=149
@dutchman@	-location=83 -people-ethnicity=35 -art=17 -organization=1
@nabil_elderkin@	-person=21
@mario_casas@	-person=20
@lodge@	-person=17 -organization=4 -location=4 -product=1
@glassboro@	-location=58 -organization=1
@graham_rahal@	-person=91
@mr._smith@	-art=19 -person=1
@john_kander@	-person=202
@mike_fratello@	-person=54
@senior_national_team@	-organization=92
@cape_arkona@	-location=50
@mongfind@	-person=21
@anthems@	-art=23
@bully@	-product=46 -art=38 -location=2 -organization=2
@life@	-art=1238 -broadcast_program=84 -organization=14 -food=5 -product=5 -title=1 -person=1
@jon_scheyer@	-person=55
@morvan@	-location=39 -person=2
@authorhouse@	-organization=30
@homotherium@	-living_thing=28
@greece_national_football_team@	-organization=116
@exposed@	-art=47 -event=3
@scurvy@	-disease=25
@darren_flutie@	-person=39
@minor_earth_major_sky@	-art=20
@pulaski_county,_arkansas@	-location=31
@medium_cool@	-art=30 -organization=3
@durg@	-location=76
@jacksonian_democracy@	-organization=38
@quitman@	-location=101 -organization=1
@dollman_vs._demonic_toys@	-art=24
@constantin_c._giurescu@	-person=48
@pigasus_award@	-award=20
@belgian_first_division@	-organization=26 -event=3
@bank_of_italy@	-organization=69 -location=2
@commander_in_chief@	-broadcast_program=107 -title=3 -product=1
@anarquia@	-person=23
@the_tech_museum_of_innovation@	-location=29
@the_king_of_fighters_'94@	-product=24
@tik-tok_of_oz@	-art=36
@wyandotte_county,_kansas@	-location=28
@russia's@	-location=52 -organization=2 -event=1
@art_of_noise@	-person=158
@mother_earth@	-art=48 -person=9 -god=2
@naismith_memorial_basketball_hall_of_fame@	-organization=462
@platinum_dunes@	-organization=29
@chandler@	-location=58 -person=41 -organization=8 -product=1
@selle@	-location=29 -event=8
@collingwood@	-organization=1398 -location=290 -person=50 -product=4
@labaya@	-person=23
@daegu_metro_line_2@	-metropolitan_transit-transit_line=26
@iona@	-location=62 -person=56 -organization=25 -art=3
@cherrybrook@	-location=23
@paris_bourse@	-location=48 -finance-stock_exchange=1
@dying_fetus@	-person=95
@saarland@	-location=800 -organization=25 -event=3
@mark_prior@	-person=54
@bay_of_pigs_invasion@	-event=276
@chad_varah@	-person=33
@jilin@	-location=667 -organization=1
@finance@	-organization=31 -title=12 -art=3 -product=2
@pebble_beach@	-location=34 -event=2
@jan_jönsson@	-person=21
@michael_john_lachiusa@	-person=69
@cantal@	-location=411 -food=5
@unaligned@	-organization=38
@gotham@	-art=47 -location=16 -organization=4 -person=2
@vermillion,_south_dakota@	-location=68
@adi@	-title=65 -organization=9 -language=7 -person=2 -location=1
@parklands@	-location=26 -art=2
@carlisle_united_f.c.@	-organization=25
@lorenzo_lotto@	-person=123
@cleome@	-living_thing=21
@flathead_county@	-location=37
@tnn@	-broadcast_network=21 -broadcast_program=2 -biology=1
@longford_town@	-organization=136 -location=4
@john_reppion@	-person=41
@dick_tufeld@	-person=27
@hiram_powers@	-person=54
@protectorate_of_south_arabia@	-location=26
@hood@	-person=46 -location=22 -product=13 -art=3 -organization=1
@netscape@	-organization=273 -product=34
@harry_revel@	-person=68
@i-95@	-location=612
@steve_czaban@	-person=22
@qld@	-location=44 -organization=2
